Description,Model,Acc,Time reg,Time sync,Std,Acc/Time,Size,Size,Image Size,Device Name,Notes,File Name,Observer,dType,QScheme,Reduce Range,,,,,,,,,,,,,,,,,,,,,,,,,
Static PTQ Fused CPU,resnet50,99.03,10.58,10.56,0.92,9.38,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,1.0,0.0,4.0,0.0,1.0,1021.0,7.0,5.0,1.0,3.0,16.0,209.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,97.36,4.19,4.16,0.42,23.43,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,996.0,9.0,14.0,0.0,33.0,8.0,161.0,32.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.83,7.47,7.43,0.67,13.3,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.11,11.22,11.18,0.83,8.87,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,1.0,1022.0,6.0,5.0,1.0,3.0,17.0,208.0,5.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.07,4.21,4.17,0.43,23.77,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,15.0,213.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,7.68,7.63,0.67,12.99,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,15.0,212.0,5.0,0.0,2.0,2.0,3.0,298.0
Static PTQ Fused CPU,resnet50,98.95,12.05,12.01,3.43,8.24,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,0.0,1018.0,9.0,7.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.05,4.77,4.72,1.6,20.98,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,3.0,1018.0,10.0,3.0,1.0,2.0,16.0,211.0,4.0,0.0,1.0,0.0,4.0,300.0
Static PTQ Fused CPU,resnet34,99.05,7.64,7.61,0.72,13.01,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,16.0,211.0,5.0,0.0,3.0,2.0,3.0,297.0
Static PTQ Fused CPU,resnet50,98.99,11.27,11.23,1.46,8.82,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,0.0,1019.0,8.0,7.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,96.96,4.48,4.44,1.41,21.82,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,77.0,4.0,2.0,6.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,17.0,991.0,9.0,17.0,0.0,44.0,7.0,151.0,32.0,0.0,8.0,0.0,1.0,296.0
Static PTQ Fused CPU,resnet34,98.77,7.58,7.54,1.27,13.09,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,25.0,199.0,8.0,0.0,0.0,1.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.09,11.78,11.73,1.58,8.45,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,318.0,1.0,0.0,3.0,0.0,0.0,1019.0,9.0,6.0,1.0,1.0,14.0,212.0,6.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,97.58,4.67,4.64,1.37,21.04,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,12.0,997.0,11.0,14.0,0.0,24.0,8.0,170.0,32.0,0.0,5.0,0.0,1.0,299.0
Static PTQ Fused CPU,resnet34,98.89,8.7,8.66,3.01,11.42,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1024.0,6.0,3.0,0.0,2.0,23.0,202.0,7.0,0.0,0.0,0.0,3.0,302.0
Static PTQ Fused CPU,resnet50,99.03,11.9,11.86,3.46,8.35,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,1.0,1.0,3.0,0.0,0.0,1020.0,8.0,6.0,1.0,2.0,14.0,210.0,7.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,99.01,5.23,5.2,2.89,19.05,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,17.0,210.0,4.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.05,8.86,8.83,4.43,11.21,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1024.0,8.0,2.0,0.0,2.0,17.0,210.0,5.0,0.0,1.0,2.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.75,12.85,12.81,5.35,7.71,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,1.0,1018.0,9.0,6.0,1.0,1.0,21.0,199.0,12.0,0.0,1.0,1.0,1.0,302.0
Static PTQ Fused CPU,resnet18,99.05,5.14,5.13,3.13,19.33,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1019.0,8.0,3.0,1.0,2.0,17.0,210.0,4.0,0.0,1.0,0.0,4.0,300.0
Static PTQ Fused CPU,resnet34,98.99,7.94,7.9,1.72,12.54,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,1.0,2.0,17.0,209.0,5.0,0.0,4.0,2.0,3.0,296.0
Static PTQ Fused CPU,resnet50,98.75,11.78,11.75,2.41,8.4,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,1.0,1021.0,6.0,6.0,1.0,0.0,24.0,199.0,10.0,0.0,2.0,2.0,2.0,299.0
Static PTQ Fused CPU,resnet18,95.83,4.3,4.27,0.49,22.46,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,65.0,10.0,2.0,11.0,1.0,0.0,318.0,2.0,1.0,1.0,0.0,34.0,975.0,7.0,18.0,0.0,70.0,3.0,130.0,31.0,0.0,15.0,0.0,1.0,289.0
Static PTQ Fused CPU,resnet34,98.67,7.5,7.47,0.83,13.2,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,2.0,1022.0,6.0,4.0,0.0,2.0,27.0,193.0,12.0,0.0,1.0,0.0,1.0,303.0
Static PTQ Fused CPU,resnet50,99.13,12.48,12.44,4.43,7.97,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,318.0,1.0,0.0,3.0,0.0,1.0,1018.0,10.0,5.0,1.0,2.0,9.0,215.0,7.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,97.46,4.5,4.47,0.5,21.8,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,13.0,996.0,9.0,16.0,0.0,30.0,8.0,164.0,32.0,0.0,4.0,0.0,1.0,300.0
Static PTQ Fused CPU,resnet34,98.83,8.75,8.71,3.98,11.35,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.01,12.15,12.11,2.48,8.17,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,1.0,4.0,0.0,0.0,1018.0,9.0,7.0,1.0,2.0,13.0,211.0,7.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,99.11,5.46,5.41,3.65,18.33,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.0,1.0,0.0,3.0,1018.0,10.0,3.0,1.0,2.0,14.0,214.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.07,8.75,8.73,4.95,11.35,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,1.0,4.0,0.0,1.0,1024.0,7.0,2.0,0.0,2.0,17.0,210.0,5.0,0.0,1.0,2.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.77,12.1,12.06,3.57,8.19,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,1.0,1014.0,12.0,7.0,1.0,1.0,14.0,206.0,12.0,0.0,1.0,1.0,1.0,302.0
Static PTQ Fused CPU,resnet18,99.01,4.49,4.46,0.46,22.19,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,16.0,211.0,4.0,0.0,3.0,0.0,4.0,298.0
Static PTQ Fused CPU,resnet34,99.03,8.6,8.56,2.66,11.57,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,18.0,209.0,5.0,0.0,3.0,1.0,3.0,298.0
Static PTQ Fused CPU,resnet50,98.75,11.85,11.83,1.24,8.35,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,1.0,1018.0,9.0,6.0,1.0,0.0,20.0,201.0,12.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,97.34,4.41,4.38,0.5,22.24,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,79.0,2.0,2.0,6.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,14.0,995.0,9.0,16.0,0.0,34.0,8.0,161.0,31.0,0.0,5.0,0.0,1.0,299.0
Static PTQ Fused CPU,resnet34,98.81,7.51,7.49,0.67,13.18,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.03,12.39,12.34,2.33,8.02,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,1.0,0.0,4.0,0.0,0.0,1018.0,9.0,7.0,1.0,1.0,14.0,211.0,7.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,97.4,4.61,4.59,0.6,21.2,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,13.0,996.0,9.0,16.0,0.0,30.0,8.0,163.0,33.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.83,8.22,8.18,0.83,12.09,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1022.0,6.0,5.0,0.0,2.0,23.0,201.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.05,34.18,34.12,18.24,2.9,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,1.0,0.0,4.0,0.0,0.0,1020.0,7.0,7.0,1.0,2.0,14.0,210.0,7.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,99.03,10.95,10.88,5.58,9.1,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,3.0,1018.0,10.0,3.0,2.0,2.0,16.0,210.0,4.0,0.0,1.0,0.0,4.0,300.0
Static PTQ Fused CPU,resnet34,99.09,10.55,10.5,7.07,9.44,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,15.0,212.0,5.0,0.0,2.0,2.0,3.0,298.0
Static PTQ Fused CPU,resnet50,98.79,17.61,17.58,12.75,5.62,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,1.0,1018.0,9.0,6.0,1.0,1.0,19.0,202.0,11.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,99.03,4.5,4.46,0.56,22.2,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,3.0,1018.0,10.0,3.0,1.0,2.0,16.0,210.0,5.0,0.0,1.0,0.0,4.0,300.0
Static PTQ Fused CPU,resnet34,99.05,8.78,8.75,3.96,11.32,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,16.0,211.0,5.0,0.0,3.0,2.0,3.0,297.0
Static PTQ Fused CPU,resnet50,98.79,12.1,12.06,4.98,8.19,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,1.0,1018.0,9.0,6.0,1.0,0.0,20.0,202.0,11.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,87.04,4.83,4.8,1.82,18.15,11.31,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,40.0,23.0,4.0,22.0,0.0,0.0,321.0,1.0,0.0,0.0,0.0,204.0,824.0,5.0,1.0,0.0,165.0,1.0,68.0,0.0,0.0,216.0,0.0,1.0,88.0
Static PTQ Fused CPU,resnet34,97.82,7.66,7.6,1.54,12.87,21.52,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,72.0,4.0,0.0,10.0,3.0,0.0,320.0,1.0,0.0,1.0,0.0,3.0,1017.0,4.0,10.0,0.0,3.0,26.0,170.0,35.0,0.0,5.0,2.0,1.0,297.0
Static PTQ Fused CPU,resnet50,96.55,12.91,12.87,4.49,7.5,24.11,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,51.0,22.0,0.0,16.0,0.0,0.0,317.0,1.0,3.0,1.0,0.0,27.0,970.0,29.0,8.0,0.0,17.0,8.0,204.0,5.0,0.0,31.0,2.0,1.0,271.0
Static PTQ Fused CPU,resnet18,90.91,4.87,4.83,1.35,18.82,11.31,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_affine,False False,50.0,18.0,3.0,18.0,0.0,0.0,321.0,1.0,0.0,0.0,0.0,126.0,902.0,5.0,1.0,0.0,121.0,1.0,110.0,2.0,0.0,154.0,0.0,1.0,150.0
Static PTQ Fused CPU,resnet34,97.7,8.67,8.66,3.16,11.29,21.52,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_affine,False False,71.0,4.0,0.0,11.0,3.0,0.0,319.0,1.0,0.0,2.0,0.0,6.0,1009.0,7.0,12.0,0.0,2.0,18.0,171.0,43.0,0.0,4.0,0.0,1.0,300.0
Static PTQ Fused CPU,resnet50,96.35,13.78,13.75,6.94,7.0,24.11,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_affine,False False,61.0,15.0,0.0,13.0,0.0,0.0,318.0,1.0,2.0,1.0,0.0,22.0,978.0,26.0,8.0,0.0,29.0,8.0,195.0,2.0,0.0,53.0,1.0,0.0,251.0
Static PTQ Fused CPU,resnet18,99.07,5.41,5.39,1.63,18.39,11.31,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,0.0,5.0,0.0,3.0,1016.0,10.0,5.0,1.0,1.0,12.0,217.0,3.0,0.0,0.0,1.0,4.0,300.0
Static PTQ Fused CPU,resnet34,98.35,8.79,8.77,3.09,11.21,21.52,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_symmetric,False False,79.0,1.0,0.0,9.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,5.0,1021.0,5.0,3.0,0.0,4.0,29.0,191.0,10.0,0.0,3.0,3.0,2.0,297.0
Static PTQ Fused CPU,resnet50,98.81,11.84,11.79,0.82,8.38,24.11,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,1.0,1008.0,18.0,7.0,1.0,2.0,8.0,215.0,8.0,0.0,2.0,0.0,2.0,301.0
Static PTQ Fused CPU,resnet18,99.01,4.31,4.27,0.57,23.19,11.31,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,0.0,5.0,0.0,3.0,1016.0,11.0,4.0,2.0,1.0,13.0,215.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,98.39,8.64,8.6,4.04,11.44,21.52,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_symmetric,False False,83.0,1.0,0.0,5.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,4.0,1021.0,6.0,3.0,0.0,5.0,29.0,189.0,11.0,0.0,4.0,4.0,1.0,296.0
Static PTQ Fused CPU,resnet50,98.65,12.8,12.78,4.4,7.72,24.11,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,311.0,1.0,1.0,9.0,0.0,1.0,997.0,29.0,7.0,1.0,2.0,5.0,220.0,6.0,0.0,2.0,0.0,3.0,300.0
Static PTQ Fused CPU,resnet18,82.96,5.68,5.65,3.27,14.68,11.31,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,8.0,52.0,6.0,23.0,0.0,0.0,321.0,1.0,0.0,0.0,0.0,305.0,724.0,4.0,1.0,0.0,196.0,0.0,38.0,0.0,0.0,257.0,0.0,0.0,48.0
Static PTQ Fused CPU,resnet34,97.66,8.93,8.89,3.25,10.99,21.52,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,58.0,8.0,0.0,19.0,4.0,0.0,318.0,1.0,0.0,3.0,0.0,1.0,1016.0,6.0,11.0,0.0,4.0,19.0,177.0,34.0,0.0,4.0,1.0,1.0,299.0
Static PTQ Fused CPU,resnet50,96.79,12.37,12.32,4.29,7.85,24.11,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,40.0,21.0,1.0,27.0,0.0,0.0,310.0,2.0,8.0,2.0,0.0,15.0,987.0,28.0,4.0,0.0,11.0,8.0,211.0,4.0,0.0,23.0,2.0,3.0,277.0
Static PTQ Fused CPU,resnet18,89.94,5.28,5.25,2.88,17.14,11.31,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_affine,False False,44.0,21.0,3.0,21.0,0.0,0.0,321.0,1.0,0.0,0.0,0.0,126.0,901.0,5.0,2.0,0.0,142.0,1.0,89.0,2.0,0.0,174.0,0.0,1.0,130.0
Static PTQ Fused CPU,resnet34,97.64,9.0,8.99,5.29,10.86,21.52,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_affine,False False,70.0,3.0,0.0,13.0,3.0,0.0,318.0,1.0,0.0,3.0,0.0,5.0,1005.0,8.0,16.0,0.0,3.0,16.0,173.0,42.0,0.0,3.0,0.0,1.0,301.0
